Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
What are the food options at BLR Airport?	Indulge in a flavourful journey by choosing from an array of food and beverage options at BLR Airport. With over 44 F&B outlets, operational round the clock, BLR Airport has both Indian and International gourmet cuisines on offer. Passengers and visitors have the option to explore the variety of restaurants at the Kerb and The Quad by BLR, as well. For more information [Click here](https://www.bengaluruairport.com/travellers/at-the-airport/experience/culinary-experience.html)	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	1
food options in airport	Indulge in a flavourful journey by choosing from an array of food and beverage options at BLR Airport. With over 44 F&B outlets, operational round the clock, BLR Airport has both Indian and International gourmet cuisines on offer. Passengers and visitors have the option to explore the variety of restaurants at the Kerb and The Quad by BLR, as well. For more information [Click here](https://www.bengaluruairport.com/travellers/at-the-airport/experience/culinary-experience.html)	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	1
food and drinks at airport	Indulge in a flavourful journey by choosing from an array of food and beverage options at BLR Airport. With over 44 F&B outlets, operational round the clock, BLR Airport has both Indian and International gourmet cuisines on offer. Passengers and visitors have the option to explore the variety of restaurants at the Kerb and The Quad by BLR, as well. For more information [Click here](https://www.bengaluruairport.com/travellers/at-the-airport/experience/culinary-experience.html)	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	1
can i get food at airport	Indulge in a flavourful journey by choosing from an array of food and beverage options at BLR Airport. With over 44 F&B outlets, operational round the clock, BLR Airport has both Indian and International gourmet cuisines on offer. Passengers and visitors have the option to explore the variety of restaurants at the Kerb and The Quad by BLR, as well. For more information [Click here](https://www.bengaluruairport.com/travellers/at-the-airport/experience/culinary-experience.html)	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	1
Do you have outlets serving only vegetarian food?	Once past security check, Tiffin Express in the Domestic boarding gates area (near Gate #2 and Gate #23) offers vegetarian food. Besides, there are several outlets on the Kerb and at The Quad by BLR serving only vegetarian food, such as Aubree, Bharatiya Jalpan, Nandi Upachar, Ooru Canteen, among others. Most restaurants have an array of vegetarian food on offer. [Read more](https://www.bengaluruairport.com/travellers/at-the-airport/experience/culinary-experience.html)	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	2
what are the vegetarian food options	Once past security check, Tiffin Express in the Domestic boarding gates area (near Gate #2 and Gate #23) offers vegetarian food. Besides, there are several outlets on the Kerb and at The Quad by BLR serving only vegetarian food, such as Aubree, Bharatiya Jalpan, Nandi Upachar, Ooru Canteen, among others. Most restaurants have an array of vegetarian food on offer. [Read more](https://www.bengaluruairport.com/travellers/at-the-airport/experience/culinary-experience.html)	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	2
food options for vegetarians	Once past security check, Tiffin Express in the Domestic boarding gates area (near Gate #2 and Gate #23) offers vegetarian food. Besides, there are several outlets on the Kerb and at The Quad by BLR serving only vegetarian food, such as Aubree, Bharatiya Jalpan, Nandi Upachar, Ooru Canteen, among others. Most restaurants have an array of vegetarian food on offer. [Read more](https://www.bengaluruairport.com/travellers/at-the-airport/experience/culinary-experience.html)	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	2
How safe is it to eat at the Airport? Do Chefs & staff follow safety protocols?	Heightened safety measures have been introduced to ensure that F&B outlets are safe for passengers. In addition to superior training of hygiene standards for all staff, including temperature screening before and after every shift, staff are equipped with masks and gloves and have been trained to maintain a safe distance while attending to customers. Cutlery and crockery are sterilised after every use. The tables are sanitised after every use and outlets are disinfected frequently.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	3
Is it safe to dine at airport	Heightened safety measures have been introduced to ensure that F&B outlets are safe for passengers. In addition to superior training of hygiene standards for all staff, including temperature screening before and after every shift, staff are equipped with masks and gloves and have been trained to maintain a safe distance while attending to customers. Cutlery and crockery are sterilised after every use. The tables are sanitised after every use and outlets are disinfected frequently.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	3
Are food and  beverages safe to be consumed at airport	Heightened safety measures have been introduced to ensure that F&B outlets are safe for passengers. In addition to superior training of hygiene standards for all staff, including temperature screening before and after every shift, staff are equipped with masks and gloves and have been trained to maintain a safe distance while attending to customers. Cutlery and crockery are sterilised after every use. The tables are sanitised after every use and outlets are disinfected frequently.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	3
Is seating allowed or is it take-away only? Can I pre-order my meal?	Seating is allowed at the restaurants, ensuring social distance is maintained. All F&B outlets have contactless options to help travellers avoid human contact at outlets and eliminate queues by pre-ordering by using the ‘FSTR by BLR’ (put link here) tab on the Airport website or through self-ordering FSTR kiosks or by scanning the QR code displayed across the Terminal, with an option to have it delivered at a location of choice at the Terminal, including a specific  boarding gate. Payments, too, can be made digitally at the time of placing the order. Food is packed in hygienic, biodegradable containers that could easily be carried into the aircraft.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	4
Take away allowed at airport	Seating is allowed at the restaurants, ensuring social distance is maintained. All F&B outlets have contactless options to help travellers avoid human contact at outlets and eliminate queues by pre-ordering by using the ‘FSTR by BLR’ (put link here) tab on the Airport website or through self-ordering FSTR kiosks or by scanning the QR code displayed across the Terminal, with an option to have it delivered at a location of choice at the Terminal, including a specific  boarding gate. Payments, too, can be made digitally at the time of placing the order. Food is packed in hygienic, biodegradable containers that could easily be carried into the aircraft.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	4
Is take-away allowed at BLR airport?	Seating is allowed at the restaurants, ensuring social distance is maintained. All F&B outlets have contactless options to help travellers avoid human contact at outlets and eliminate queues by pre-ordering by using the ‘FSTR by BLR’ (put link here) tab on the Airport website or through self-ordering FSTR kiosks or by scanning the QR code displayed across the Terminal, with an option to have it delivered at a location of choice at the Terminal, including a specific  boarding gate. Payments, too, can be made digitally at the time of placing the order. Food is packed in hygienic, biodegradable containers that could easily be carried into the aircraft.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	4
What is The QuadbyBLR?	The Quad by BLR is a retail and F&B plaza at BLR Airport, situated off the Kerb, opposite Arrivals. This space is open for passengers and visitors to indulge in retail therapy, grab a meal, drink their favourite brew, watch match screenings, live music gigs and more. For information,  [Click here ](https://www.bengaluruairport.com/travellers/at-the-airport/quad-by-blr.html)\n\nJoin us on social media (@BLRAirport) to keep track of the event at The Quad.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	5
Till what time are the outlets on the kerb open? Is it open for both passengers & visitors?	The outlets at the kerb are operational round the clock for both passengers and visitors.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	6
Food availability at kerb timings	The outlets at the kerb are operational round the clock for both passengers and visitors.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	6
Is there a brewery at BLR Airport? Do restaurants serve alcohol?	There are several outlets at The Quad by BLR that serve alcohol, including Barley & Grapes Café and Windmills Brewery. Alcohol is available between 11:00 AM - 11:00 PM. In addition, Living Liquidz and La Cave sell a selection of liquor and wine.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	7
Is alcohol available at airport restaurants?	There are several outlets at The Quad by BLR that serve alcohol, including Barley & Grapes Café and Windmills Brewery. Alcohol is available between 11:00 AM - 11:00 PM. In addition, Living Liquidz and La Cave sell a selection of liquor and wine.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	7
Do airport restaurants serve alcohol?	There are several outlets at The Quad by BLR that serve alcohol, including Barley & Grapes Café and Windmills Brewery. Alcohol is available between 11:00 AM - 11:00 PM. In addition, Living Liquidz and La Cave sell a selection of liquor and wine.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	7
What shopping options are available at BLR Airport? Share the list of brands	A variety of local and global brands are available at BLR Airport both at domestic and international departures and arrivals, as well as at The Quad by BLR. For information on the brands	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	8
Shopping options at airport	A variety of local and global brands are available at BLR Airport both at domestic and international departures and arrivals, as well as at The Quad by BLR. For information on the brands	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	8
what are the shopping brands available at airport	A variety of local and global brands are available at BLR Airport both at domestic and international departures and arrivals, as well as at The Quad by BLR. For information on the brands	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	8
How do you ensure safety protocols are followed at all retail outlets?	All retail stores follow stringent hygiene measures, including fumigation and sanitisation. Both staff and passengers are screened at entry and safe distance is ensured. All materials are moved to the stores after thorough sanitisation. Passengers are encouraged to use digital modes of payment.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	9
covid protocols at retail outlets	All retail stores follow stringent hygiene measures, including fumigation and sanitisation. Both staff and passengers are screened at entry and safe distance is ensured. All materials are moved to the stores after thorough sanitisation. Passengers are encouraged to use digital modes of payment.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	9
Where can I get details of the Duty-Free store at BLR Airport?	[Visit our website ](https://www.bengaluruairport.com/travellers/at-the-airport/experience/duty-free-store.html) or contact the Duty Manager on +91 90081 11881. The Duty-Free shops, operated by Dufry India, are located at International Arrivals and Departures, and offer over 10,000 products, including cosmetics, fragrances, chocolates, liquor and more.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	10
tax and duty free shopping at airport	[Visit our website ](https://www.bengaluruairport.com/travellers/at-the-airport/experience/duty-free-store.html) or contact the Duty Manager on +91 90081 11881. The Duty-Free shops, operated by Dufry India, are located at International Arrivals and Departures, and offer over 10,000 products, including cosmetics, fragrances, chocolates, liquor and more.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	10
duty free shopping availability	[Visit our website ](https://www.bengaluruairport.com/travellers/at-the-airport/experience/duty-free-store.html) or contact the Duty Manager on +91 90081 11881. The Duty-Free shops, operated by Dufry India, are located at International Arrivals and Departures, and offer over 10,000 products, including cosmetics, fragrances, chocolates, liquor and more.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	10
How many lounges do you have at the Airport? Do the lounges have free Wi-Fi?	Lounges are available in domestic and international areas. Passengers can enjoy a variety of F&B options along with interactive live food counters. Well-designed seating space, business centre as well as unlimited high-speed Wi-Fi are on offer. The lounges at BLR Airport are operated by Travel Food Services. The lounges are currently being upgraded; therefore, limited space is available.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	11
lounges at airport	Lounges are available in domestic and international areas. Passengers can enjoy a variety of F&B options along with interactive live food counters. Well-designed seating space, business centre as well as unlimited high-speed Wi-Fi are on offer. The lounges at BLR Airport are operated by Travel Food Services. The lounges are currently being upgraded; therefore, limited space is available.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	11
wifi at airport lounges	Lounges are available in domestic and international areas. Passengers can enjoy a variety of F&B options along with interactive live food counters. Well-designed seating space, business centre as well as unlimited high-speed Wi-Fi are on offer. The lounges at BLR Airport are operated by Travel Food Services. The lounges are currently being upgraded; therefore, limited space is available.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	11
Is the lounge operational currently? How can I access it?	Both lounges (domestic + international) are operational round-the-clock at BLR Airport. Passengers can access the lounge using eligible lounge cards like VISA, Mastercard, RuPay, Diners, American Express, Lounge Key, Lounge Club, Priority Pass and Airline invitation cards. Contact numbers: Domestic lounge: +91 86575 41675 | International lounge: +91 86575 41678	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	12
is the lounge open for passengers	Both lounges (domestic + international) are operational round-the-clock at BLR Airport. Passengers can access the lounge using eligible lounge cards like VISA, Mastercard, RuPay, Diners, American Express, Lounge Key, Lounge Club, Priority Pass and Airline invitation cards. Contact numbers: Domestic lounge: +91 86575 41675 | International lounge: +91 86575 41678	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	12
What safety procedures are undertaken at the lounges to maintain hygiene?	The lounges are disinfected frequently, and passenger touchpoints are sanitised after every use. The lounges follow FSSAI, HACCP and ISO standards. The staff and passengers are screened at entry. Staff are equipped with masks and gloves. Occupancy at the lounge has been reduced to ensure safe distance. Digital menus and serviced buffet are available for the safety of passengers.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	13
lounge safety and maintainance	The lounges are disinfected frequently, and passenger touchpoints are sanitised after every use. The lounges follow FSSAI, HACCP and ISO standards. The staff and passengers are screened at entry. Staff are equipped with masks and gloves. Occupancy at the lounge has been reduced to ensure safe distance. Digital menus and serviced buffet are available for the safety of passengers.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	13
covid measure and hygiene at lounges	The lounges are disinfected frequently, and passenger touchpoints are sanitised after every use. The lounges follow FSSAI, HACCP and ISO standards. The staff and passengers are screened at entry. Staff are equipped with masks and gloves. Occupancy at the lounge has been reduced to ensure safe distance. Digital menus and serviced buffet are available for the safety of passengers.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	13
What is the duration to access the lounge?	Passengers may enter the lounge only three hours prior to departure time and are permitted to spend three hours on a single transaction. In case a passenger wants to extend the duration, they need to approach the reception with their requirements.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	14
lounge durations and access	Passengers may enter the lounge only three hours prior to departure time and are permitted to spend three hours on a single transaction. In case a passenger wants to extend the duration, they need to approach the reception with their requirements.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	14
when are the airport lounges open	Passengers may enter the lounge only three hours prior to departure time and are permitted to spend three hours on a single transaction. In case a passenger wants to extend the duration, they need to approach the reception with their requirements.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	14
What food options do you serve at the lounge?	Post COVID-19, the lounges offer live food counters for dining, as well as takeaway food box options. The cuisine on offer includes a mix of Indian and Continental food, along with beverages.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	15
do lounges serve food to passengers	Post COVID-19, the lounges offer live food counters for dining, as well as takeaway food box options. The cuisine on offer includes a mix of Indian and Continental food, along with beverages.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	15
food availability at lounges	Post COVID-19, the lounges offer live food counters for dining, as well as takeaway food box options. The cuisine on offer includes a mix of Indian and Continental food, along with beverages.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	15
Do the lounges serve alcohol?	Yes, the lounges offer a variety of liquor options at an additional charge.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	16
alcohol availability at lounges	Yes, the lounges offer a variety of liquor options at an additional charge.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	16
is alcohol served in lounges	Yes, the lounges offer a variety of liquor options at an additional charge.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	16
What are the transport options available to reach BLR Airport?	*   Airport Taxis (Meru, Mega and KSTDC Cabs) [https://www.meru.in/](https://www.meru.in/) |  [http://www.megacabs.com/](http://www.megacabs.com/)  | [https://www.kstdc.co/](https://www.kstdc.co/)  \n*   BMTC Bus Service [https://mybmtc.karnataka.gov.in/](https://mybmtc.karnataka.gov.in/)\n*   App-based Taxis (Ola/ Uber)	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	17
what are transport options to reach airport	*   Airport Taxis (Meru, Mega and KSTDC Cabs) [https://www.meru.in/](https://www.meru.in/) |  [http://www.megacabs.com/](http://www.megacabs.com/)  | [https://www.kstdc.co/](https://www.kstdc.co/)  \n*   BMTC Bus Service [https://mybmtc.karnataka.gov.in/](https://mybmtc.karnataka.gov.in/)\n*   App-based Taxis (Ola/ Uber)	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	17
public transport to and from airport	*   Airport Taxis (Meru, Mega and KSTDC Cabs) [https://www.meru.in/](https://www.meru.in/) |  [http://www.megacabs.com/](http://www.megacabs.com/)  | [https://www.kstdc.co/](https://www.kstdc.co/)  \n*   BMTC Bus Service [https://mybmtc.karnataka.gov.in/](https://mybmtc.karnataka.gov.in/)\n*   App-based Taxis (Ola/ Uber)	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	17
What are the parking charges at BLR Airport?	Two-wheeler\n\n*   Upto 1 hour: ₹ 40. Every additional hour ₹ 20.\n*   24 hours: ₹ 250. Every additional day ₹ 150.\n\nFour-wheeler\n\n*   Upto 30 minutes: ₹ 100. Every additional hour ₹ 50.\n*   24 hours: ₹ 600. Every additional day ₹ 350.\n\nFor more information, please visit our website [Transport for Travellers | BIAL (bengaluruairport.com)](https://www.bengaluruairport.com/travellers/transport-parking.html#parking)	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	18
parking charges at airport	Two-wheeler\n\n*   Upto 1 hour: ₹ 40. Every additional hour ₹ 20.\n*   24 hours: ₹ 250. Every additional day ₹ 150.\n\nFour-wheeler\n\n*   Upto 30 minutes: ₹ 100. Every additional hour ₹ 50.\n*   24 hours: ₹ 600. Every additional day ₹ 350.\n\nFor more information, please visit our website [Transport for Travellers | BIAL (bengaluruairport.com)](https://www.bengaluruairport.com/travellers/transport-parking.html#parking)	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	18
how much does is cost to park at airport	Two-wheeler\n\n*   Upto 1 hour: ₹ 40. Every additional hour ₹ 20.\n*   24 hours: ₹ 250. Every additional day ₹ 150.\n\nFour-wheeler\n\n*   Upto 30 minutes: ₹ 100. Every additional hour ₹ 50.\n*   24 hours: ₹ 600. Every additional day ₹ 350.\n\nFor more information, please visit our website [Transport for Travellers | BIAL (bengaluruairport.com)](https://www.bengaluruairport.com/travellers/transport-parking.html#parking)	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	18
How many car parking bays do you have at the Airport?	Over 900 car parking slots are currently available at the P4 parking area.	https://www.bengaluruairport.com/travellers/passenger-services/faqs-at-blr.html#General		[]	False	[]	19
